InvoiceNo,StockCode,Description,Category,Quantity,UnitPrice,InvoiceDate,CustomerID,Age,Gender,Country,SalesRep,ReturnFlag,Total
INV168777,P0139,Product 139  - damaged,Fashon,5,873.93,45145,C004539,60,Female,Austalia,SR014,0,4369.65
INV172125,P0168,Product 168,electronisc,4,625.62,09-03-2023 19:45,C001993,40,Female,USA,SR015,0,2502.48
INV140531,P0135,Product 135,Health,6 units,376.26,45027,C004965,20,Male,Germany,SR006,0,2257.56
INV193354,P0075,Product 75,Home Decor,4,962.97,05-12-2023 01:33,C003444,25,Male,U S A,SR014,0,"$3,851.88 USD"
INV119476,P0012,Product 12,Fashon,9,35.23,25-02-2023 11:19,C002687 ,61,Male,Canada,SR018,0,317.07
INV192207,P0115,Product 115,electronisc,7,188.77,11-01-2023 17:49,C002878,22,Female,Germany,SR004,0,1321.39
INV195056,P0135,Product 135,Health,1,535.69,11-02-2023 00:02,C002507,56,Female,India,SR018,0,535.69
INV107773,P0124,Product 124,Fashon,2,510.98,44932,C004955,46,F,Austalia,SR018,0,1021.96
INV114886,P0177,Product 177,Home Decor,6,670.3,31-03-2023 14:21,C001043,66,Male,UK,SR003,0,4021.8
INV159776,P0071,Product 71,electronisc,9,17.99,22-12-2023 16:50,C003413,56,Female,UK,SR003,0,161.91
INV181408,P0076,Product 76,Electronics,6,729.12,30-05-2023 23:45,1067,35,Female,Untied States,SR018,0,4374.72
INV160884,P0007,,electronisc,5,766.84,02-11-2023 07:39,C003738,24,Male,Inda,SR016,0,3834.2
INV104555,P0093,Product 93,Electronics,8,75.52,26-01-2023 10:38,173,30,Female,Uk,SR012,0,604.16
INV101097,P0176,Product 176,SPORTS,-4,333.45,21-06-2023 19:07,C002407,20,Male,Australia,SR018,1,-1333.8
INV183686,P0069,Product 69,Beauty,4,550.11,04-03-2023 06:17,C000024 ,63,Female,Canad,SR004,0,2200.44
INV172921,P0002,Product 2,beauty ,2,729.15,04-10-2023 20:11,C002130 ,23,,Inda,SR009,0,1458.3
INV186485,P0165,Product 165,Beauty,7,58.01,16-04-2023 17:15,C000918,48,Female,Austalia,SR010,0,406.07
INV178913,P0018,Product 18,Toyz,3,749.36,45100,C001179,19,Female,Germny,SR017,0,2248.08
INV101093,P0107,,Fashon,3,5.73,45276,C003096,35,Female,U S A,SR002,0,17.19
INV149423,P0007,Product 7,electronisc,3,407.61,10-12-2023 05:29,C000455,33,Female,Germany,SR017,0,1222.83
INV162205,P0095,Product 95,BEAUTY,7,726.29,13-08-2023 18:31,C000779,43,Male,Uk,SR015,0,5084.03
INV122742,P0040,Product 40,Toyz,7,150.56,21-01-2023 16:14,C002431,31,Female,Untied States,SR015,0,1053.92
INV114218,P0046,Product 46,Books,6,457.43,45100,C000111,34,Male,USA,SR008,0,2744.58
INV162149,P0112,Product 112,Toys,5,280.87,45170,C003988,30,Female,Australia,SR007,0,1404.35
INV185308,P0046,Product 46,Books,9,191.28,45172,C000763,,Male,Inda,SR019,0,1721.52
INV173370,P0191,Product 191,Toyz,1,69.01,02-07-2023 23:37,C002471,22,Male,USA,SR009,0,69.01
INV125356,P0120,Product 120,Books,9 units,786.67,15-01-2023 01:44,C002714,39,Female,Uk,SR010,0,7080.03
INV114619,P0085,Product 85,Fashion,8,431.95,01-01-2023 10:10,C002701,35,Male,Untied States,SR007,0,3455.6
INV166857,P0030,Product 30,SPORTS,5,708.2,09-06-2023 14:31,C001165,41,Female,Austalia,SR011,0,3541
INV16572,P0050,Product 50,Books,7,368.48,10-01-2023 06:25,C002429,53,Female,Uk,SR005,,2579.36
INV173199,P0087,Product 87,GROCERY,2,387.96,13-11-2023 07:19,C004952,30,,Germny,SR010,0,775.92
INV197480,P0106,Product 106,Books,3,875.29,45055,C000041,34,Male,Frnace,SR003,0,2625.87
INV193195,P0027,Product 27,Health,8,672.48,24-06-2023 02:43,C003880,41,Female,U S A,SR015,0,5379.84
INV182229,P0034,Product 34,Toys,4,598.57,45267,C002366,50,Female,USA,SR008,0,2394.28
INV195405,P0133,Product 133,Grocery,4,460.97,27-06-2023 11:50,C003388,25,Female,Frnace,SR010,0,1843.88
INV107381,P0174,Product 174,GROCERY ,5 units,636.11,18-04-2023 13:14,C003053,31,Female,USA,SR013,0,3180.55
INV176835,P0063,Product 63,beauty ,9,$568.26,27-11-2023 11:51,,22,Male,Australia,SR019,0,5114.34
INV175345,P0028,Product 28,Toys,2,600.08,22-11-2023 00:40,C004075,23,Male,Frnace,SR015,0,1200.16
INV194740,P0122,Product 122,Home decors,2,788.24,13-06-2023 12:26,C003613,32,Male,Uk,SR016,N,1576.48
INV183724,P0162,Product 162,electronisc,7,521.48,31-12-2023 20:42,C001990,64,Male,UK,SR004,0,3650.36
INV192651,P0034,Product 34,Toys,9,307.4,19-08-2023 17:34,C001182,56,Female,Germany,SR011,0,2766.6
INV112148,P0043,Product 43,Sports,9,384.33,18-05-2023 22:16,C003445,25,Male,Frnace,SR016,0,3458.97
INV137546,P0152,Product 152,Toyz,5,340.51,15-08-2023 22:25,C000850,52,Male,USA,SR020,0,1702.55
INV183658,P0061,Product 61,home decor,8,76.83,28-06-2023 06:05,C001498,41,Female,USA,SR008,0,614.64
INV179110,P0013,Product 13 ###,Grocery,3,433.16,44954,C000893,69,Male,Frnace,SR010,0,1299.48
INV155571,P0051,Product 51,Sports,3,115.23,07-09-2023 06:11,C000237,27,Male,Germny,SR006,0,345.69
INV178335,P0091,Product 91,Automotive,1,521.1,08-08-2023 13:54,C002925,53,Female,UK,SR007,0,521.1
INV104004,P0188,Product 188,Toys,8,159.86,26-08-2023 05:28,C000615,28,Male,Untied States,SR001,0,1278.88
INV169854,P0041,Product 41,Sports,-4,944.43,45230,C003343,63,Female,U S A,SR005,1,-3777.72
INV130583,P0028,Product 28,Toys,9 units,210.82,26-09-2023 09:15,C004821 ,65,Male,USA,SR009,0,1897.38
INV184710,P0072,Product 72,Toyz,2,165.08,14-06-2023 01:22,C001743,58,Female,Canada,SR006,0,330.16
INV150221,P0023,Product 23,Fashon,1,755.07,08-02-2023 18:31,C004657 ,23,F,Austalia,SR008,0,755.07
INV132167,P0180,Product 180,Electronics,6,306.67,45224,C001029,50,Male,Uk,SR016,0,1840.02
INV141028,P0101,Product 101,SPORTS,3,312.24,45206,C002076,18,Male,France,SR002,0,936.72
INV103895,P0200,Product 200,HOME DECOR,4,538.35,27-05-2023 13:59,C004380,41,Male,Canad,SR014,0,2153.4
INV134563,P0050,Product 50,Books,6,969.49,21-12-2023 10:51,C002626,60,Female,India,SR013,0,5816.94
INV138549,P0110,Product 110,Sports,7,572.21,03-11-2023 14:55,C003165,64,Female,Germny,SR019,0,4005.47
INV155535,P0105,Product 105,beauty ,6,18.71,03-04-2023 01:56,C000155 ,54,Male,Frnace,SR015,0,112.26
INV170834,P0007,Product 7,electronisc,8,937.72,17-03-2023 13:31,C003750 ,49,Male,U S A,SR015,0,7501.76
INV104760,P0084,Product 84,Fashon,6,645.24,24-07-2023 20:33,C004271,105,Female,USA,SR008,0,3871.44
INV131653,P0093,Product 93,Electronics,2,863.28,06-06-2023 10:21,C002999,41,Male,Australia,SR020,0,1726.56
INV18925,P0087,Product 87,GROCERY,4,169.36,12-08-2023 11:41,C001193,54,Female,Canada,SR002,0,677.44
INV185809,P0058,Product 58,GROCERY,2,211.63,14-06-2023 12:21,C004022,18,Male,USA,SR013,0,423.26
INV127892,P0159,Product 159,Fashon,2,630.56,25-05-2023 13:39,,37,Female,USA,SR008,0,1261.12
INV148948,P0038,Product 38,Home Decor,2 units,338.67,14-06-2023 00:14,C003069,23,Male,Frnace,SR013,0,677.34
INV175572,P0111,Product 111,Beauty,8,384.42,30-06-2023 18:35,C002375,26,Male,Canad,SR001,0,3075.36
INV152890,P0159,Product 159,Fashon,6,438.72,10-12-2023 00:43,C000119,59,Female,Austalia,SR007,0,2632.32
INV122652,P0038,Product 38,Home Decor,4,390.38,16-03-2023 16:00,C000387,46,F,USA,SR020,0,1561.52
INV189020,P0069,Product 69,Fashon,7,259.83,08-07-2023 06:56,C001757,67,Male,India,SR004,0,1818.81
INV188200,P0129,Product 129,HOME DECOR,-3,605.24,05-05-2023 15:43,C003631,34,Male,Austalia,SR003,1,-1815.72
INV134258,P0123,Product 123,Fashon,7,983.33,04-07-2023 08:18,C001532,57,Female,Inda,SR014,0,6883.31
INV186392,P0044,Product 44  - damaged,Fashion,4,505.72,24-03-2023 15:29,C001110,45,Female,Austalia,SR020,0,2022.88
INV179620,P0151,Product 151  [refurbished],Toyz,6,904.71,21-03-2023 10:19,C003490,58,Female,India,SR020,0,5428.26
INV124975,P0138,Product 138,Books,5,$749.27,19-11-2023 09:14,C003815,48,Male,USA,SR018,0,3746.35
INV193288,P0099,Product 99,Electronics,3 units,828.75,31-07-2023 18:11,C002336,20,Male,Germny,SR010,0,2486.25
