Transaction_ID,Date,Customer_ID,Customer_Age,Gender,Location,Product_Category,Product_Name,Unit_Price,Quantity,Discount_Applied,Total_Revenue,Payment_Method,Delivery_Time_Days,Customer_Rating
TXN1000,01-01-2023,CUST_4764,39,Male,Pakistan,Apparel,Cotton T-Shirt,89.5,3,0.04,257.76,PayPal,8,3.3
TXN1001,01-01-2023,CUST_20831,33,Male,Germany,Electronics,4K Smart TV,1129.5,3,0.05,3219.07,Credit Card,9,3.8
TXN1002,01-01-2023,CUST_15374,41,Non-binary,Germany,Home & Kitchen,Air Fryer,195.79,2,0.13,340.67,Credit Card,14,1.5
TXN1003,01-01-2023,CUST_17541,50,Non-binary,UAE,Electronics,Gaming Laptop,1153.43,1,0.1,1038.09,Bank Transfer,11,1.6
TXN1004,01-01-2023,CUST_14124,32,Male,UAE,Apparel,Formal Shirt,146.54,2,0.08,269.63,Credit Card,6,4.5
TXN1005,01-01-2023,CUST_6476,32,Male,USA,Apparel,Running Shoes,138.8,2,0.12,244.29,Credit Card,2,3.6
TXN1006,01-01-2023,CUST_18430,50,Male,UAE,Electronics,4K Smart TV,1171.49,3,0.03,3409.04,PayPal,4,3.3
TXN1007,01-01-2023,CUST_15293,42,Female,Germany,Electronics,Gaming Laptop,792.85,1,0.03,769.06,PayPal,4,4.4
TXN1008,01-01-2023,CUST_4768,30,Male,UK,Electronics,4K Smart TV,605.71,1,0.04,581.48,Credit Card,6,3.5
TXN1009,01-01-2023,CUST_13396,40,Male,UK,Apparel,Running Shoes,68.77,2,0.12,121.04,PayPal,13,2.1
TXN1010,01-01-2023,CUST_18131,30,Male,USA,Electronics,Gaming Laptop,751.87,3,0.08,2075.16,Credit Card,15,3.5
TXN1011,01-01-2023,CUST_16020,30,Non-binary,UAE,Electronics,Wireless Noise-Canceling Headphones,180.72,3,0.04,520.47,Credit Card,9,3.1
TXN1012,01-01-2023,CUST_21627,37,Female,UAE,Sports,Tennis Racket,20.85,2,0.02,40.87,Credit Card,15,2.4
TXN1013,01-01-2023,CUST_12963,18,Female,Germany,Apparel,Running Shoes,130.99,2,0.09,238.4,PayPal,11,2.8
TXN1014,01-01-2023,CUST_19084,18,Female,UAE,Electronics,Smartwatch,541.83,3,0.07,1511.71,Credit Card,14,2.7
TXN1015,01-01-2023,CUST_14512,29,Female,Germany,Apparel,Cotton T-Shirt,72.24,3,0.06,203.72,Crypto,14,2.7
TXN1016,01-01-2023,CUST_6994,24,Female,UK,Sports,Dumbbell Set,107.95,3,0.1,291.47,Credit Card,12,2.8
TXN1017,01-01-2023,CUST_14009,38,Male,Pakistan,Electronics,Wireless Noise-Canceling Headphones,102.11,3,0.1,275.7,Crypto,14,1.6
TXN1018,01-01-2023,CUST_8288,25,Female,UAE,Apparel,Formal Shirt,80.81,3,0.01,240.01,PayPal,1,3.5
TXN1019,01-01-2023,CUST_8286,20,Female,USA,Electronics,4K Smart TV,1289.03,3,0.12,3403.04,Bank Transfer,6,4.8
TXN1020,01-01-2023,CUST_4340,49,Female,USA,Electronics,4K Smart TV,1071.24,2,0.03,2078.21,PayPal,15,2.5
TXN1021,01-01-2023,CUST_8587,32,Male,India,Electronics,Wireless Noise-Canceling Headphones,1204.91,2,0.06,2265.23,PayPal,13,1.9
TXN1022,01-01-2023,CUST_7292,35,Male,UAE,Electronics,4K Smart TV,1177.48,3,0.13,3073.22,PayPal,10,4.9
TXN1023,01-01-2023,CUST_9770,20,Non-binary,India,Beauty,Moisturizing Cream,62.08,2,0.15,105.54,Credit Card,5,4.5
TXN1024,01-01-2023,CUST_22772,29,Female,Germany,Electronics,Smartphone 128GB,704.71,3,0.13,1839.29,Credit Card,14,2.2
TXN1025,01-01-2023,CUST_22759,36,Female,USA,Beauty,Lipstick Set,54.51,2,0.09,99.21,Bank Transfer,11,1.2
TXN1026,01-01-2023,CUST_5876,23,Female,India,Apparel,Denim Jeans,58.05,1,0.01,57.47,Credit Card,5,3.4
TXN1027,01-01-2023,CUST_19724,38,Male,India,Electronics,Smartphone 128GB,1320.33,3,0.09,3604.5,Bank Transfer,15,1.5
TXN1028,01-01-2023,CUST_14450,28,Male,USA,Apparel,Denim Jeans,120.54,3,0.1,325.46,Crypto,9,3.8
TXN1029,02-01-2023,CUST_17783,32,Male,USA,Beauty,Hair Serum,79.48,3,0.11,212.21,PayPal,9,4.5
TXN1030,02-01-2023,CUST_7295,28,Male,Pakistan,Apparel,Cotton T-Shirt,80.37,2,0.13,139.84,Crypto,8,3.2
TXN1031,02-01-2023,CUST_17332,53,Female,Pakistan,Apparel,Winter Jacket,145.62,3,0.07,406.28,Credit Card,3,3.9
TXN1032,02-01-2023,CUST_9624,34,Male,UK,Home & Kitchen,Air Fryer,60.04,3,0.06,169.31,PayPal,11,1
TXN1033,02-01-2023,CUST_17515,24,Male,UAE,Electronics,Smartphone 128GB,195.78,2,0.15,332.83,Credit Card,1,4.8
TXN1034,02-01-2023,CUST_15806,43,Male,UK,Home & Kitchen,Coffee Maker,275.3,1,0.12,242.26,Credit Card,10,4.5
TXN1035,02-01-2023,CUST_18987,22,Male,Pakistan,Electronics,Smartphone 128GB,894.54,2,0.13,1556.5,Credit Card,8,4.5
TXN1036,02-01-2023,CUST_19784,37,Male,Germany,Sports,Football,141.78,1,0.14,121.93,PayPal,5,3.3
TXN1037,02-01-2023,CUST_6338,18,Male,Pakistan,Sports,Football,61.37,1,0.12,54.01,PayPal,5,3.6
TXN1038,02-01-2023,CUST_9074,21,Male,Pakistan,Sports,Cycling Helmet,56.45,3,0.15,143.95,PayPal,11,2.8
TXN1039,02-01-2023,CUST_9445,36,Male,Pakistan,Electronics,Smartphone 128GB,883.86,3,0.09,2412.94,Bank Transfer,15,2.7
TXN1040,02-01-2023,CUST_23658,42,Male,Germany,Beauty,Lipstick Set,6.42,1,0.15,5.46,Credit Card,4,3.5
TXN1041,02-01-2023,CUST_5485,36,Female,Germany,Home & Kitchen,Coffee Maker,115.5,1,0.09,105.11,PayPal,12,2.4
TXN1042,02-01-2023,CUST_19376,33,Male,UK,Electronics,Gaming Laptop,1244.62,2,0.06,2339.89,Credit Card,4,4.9
TXN1043,02-01-2023,CUST_4938,31,Male,India,Beauty,Moisturizing Cream,71.62,1,0.01,70.9,PayPal,11,2.6
TXN1044,02-01-2023,CUST_5915,20,Male,Germany,Home & Kitchen,Vacuum Cleaner,128.47,2,0.02,251.8,Bank Transfer,11,2.9
TXN1045,02-01-2023,CUST_10072,27,Female,UAE,Beauty,Hair Serum,42.82,1,0.04,41.11,Credit Card,4,4.3
TXN1046,02-01-2023,CUST_21063,30,Male,USA,Home & Kitchen,Microwave Oven,124.21,3,0.05,354,PayPal,8,3.6
TXN1047,02-01-2023,CUST_15383,45,Non-binary,Pakistan,Home & Kitchen,Air Fryer,194.93,3,0.15,497.07,PayPal,13,2.9
TXN1048,02-01-2023,CUST_15040,38,Male,Pakistan,Home & Kitchen,Vacuum Cleaner,36.41,1,0.01,36.05,Credit Card,12,1.1
TXN1049,02-01-2023,CUST_20463,18,Male,USA,Electronics,Gaming Laptop,795.21,2,0.05,1510.9,Credit Card,8,4
TXN1050,02-01-2023,CUST_8381,38,Male,Pakistan,Sports,Tennis Racket,128.88,2,0.09,234.56,Credit Card,11,1.8
TXN1051,02-01-2023,CUST_12150,31,Male,UK,Beauty,Lipstick Set,29.2,3,0.09,79.72,Credit Card,12,2.2
TXN1052,02-01-2023,CUST_9515,28,Female,India,Beauty,Perfume,9.13,1,0.13,7.94,Bank Transfer,10,3.5
TXN1053,03-01-2023,CUST_11465,41,Male,USA,Electronics,4K Smart TV,566.75,2,0.11,1008.82,Credit Card,9,3.4
TXN1054,03-01-2023,CUST_20686,45,Female,UK,Apparel,Denim Jeans,86.44,1,0.1,77.8,Credit Card,6,4.9
TXN1055,03-01-2023,CUST_15112,44,Female,UK,Home & Kitchen,Air Fryer,38.02,2,0.08,69.96,Bank Transfer,14,3.5
TXN1056,03-01-2023,CUST_8065,26,Female,UAE,Electronics,Wireless Noise-Canceling Headphones,250.32,3,0,750.96,PayPal,15,2.1
TXN1057,03-01-2023,CUST_17115,31,Female,UK,Home & Kitchen,Microwave Oven,213.61,3,0.06,602.38,Bank Transfer,7,3.8
TXN1058,03-01-2023,CUST_5815,38,Female,India,Electronics,Wireless Noise-Canceling Headphones,1006.62,1,0.11,895.89,Bank Transfer,2,3.2
TXN1059,03-01-2023,CUST_7695,44,Male,UK,Home & Kitchen,Microwave Oven,232.42,2,0.12,409.06,Credit Card,3,4
TXN1060,03-01-2023,CUST_22923,30,Male,UAE,Apparel,Running Shoes,88.94,3,0.06,250.81,PayPal,4,3.9
TXN1061,03-01-2023,CUST_4150,33,Male,Germany,Home & Kitchen,Microwave Oven,41.85,1,0.13,36.41,PayPal,13,2.1
TXN1062,03-01-2023,CUST_12073,23,Male,India,Apparel,Formal Shirt,75.48,3,0.15,192.47,Credit Card,1,3.4
TXN1063,03-01-2023,CUST_11798,23,Male,Germany,Apparel,Running Shoes,46.12,1,0.07,42.89,Bank Transfer,10,4
TXN1064,03-01-2023,CUST_8451,43,Female,UAE,Apparel,Formal Shirt,114.77,2,0.11,204.29,Bank Transfer,5,4.1
TXN1065,03-01-2023,CUST_19571,48,Female,UAE,Apparel,Running Shoes,37.44,2,0.03,72.63,Bank Transfer,1,3.7
TXN1066,03-01-2023,CUST_6981,34,Male,UAE,Electronics,Smartwatch,688.59,3,0.02,2024.45,Credit Card,12,3.5
TXN1067,03-01-2023,CUST_18588,45,Male,UK,Home & Kitchen,Microwave Oven,100.83,2,0.05,191.58,Credit Card,11,3.5
TXN1068,03-01-2023,CUST_16618,38,Male,India,Electronics,Smartwatch,1069.46,2,0.04,2053.36,Credit Card,4,4.9
TXN1069,03-01-2023,CUST_18072,28,Male,Germany,Electronics,Wireless Noise-Canceling Headphones,1412.28,3,0,4236.84,PayPal,4,3.1
TXN1070,03-01-2023,CUST_16475,38,Male,Germany,Beauty,Moisturizing Cream,43.18,1,0.09,39.29,Credit Card,2,3.4
TXN1071,03-01-2023,CUST_13149,50,Male,Pakistan,Home & Kitchen,Microwave Oven,191.49,1,0.12,168.51,Bank Transfer,2,3.1
TXN1072,03-01-2023,CUST_6838,34,Male,Pakistan,Home & Kitchen,Blender,79.73,2,0.1,143.51,PayPal,2,4.2
TXN1073,03-01-2023,CUST_18044,50,Male,Pakistan,Home & Kitchen,Air Fryer,188.72,3,0.02,554.84,Credit Card,10,4.5
TXN1074,03-01-2023,CUST_10877,18,Male,India,Apparel,Running Shoes,115.14,3,0.02,338.51,Credit Card,5,4.5
TXN1075,03-01-2023,CUST_13846,43,Male,Germany,Beauty,Lipstick Set,43.08,3,0.12,113.73,PayPal,8,3.4
TXN1076,04-01-2023,CUST_8548,35,Male,USA,Apparel,Winter Jacket,112.55,1,0.02,110.3,PayPal,6,3.6
TXN1077,04-01-2023,CUST_10720,32,Male,India,Apparel,Running Shoes,128.74,3,0.01,382.36,Credit Card,3,4.6
TXN1078,04-01-2023,CUST_5038,35,Male,UAE,Electronics,Gaming Laptop,852.25,3,0.08,2352.21,Credit Card,14,2.6
TXN1079,04-01-2023,CUST_23696,18,Female,UK,Beauty,Moisturizing Cream,41.97,3,0.09,114.58,Credit Card,15,1.6
TXN1080,04-01-2023,CUST_18736,32,Female,USA,Home & Kitchen,Microwave Oven,126.84,3,0.07,353.88,PayPal,4,3.8
TXN1081,04-01-2023,CUST_21112,38,Male,UK,Beauty,Face Wash,70.12,3,0.02,206.15,PayPal,3,3.9
TXN1082,04-01-2023,CUST_7991,49,Male,India,Sports,Football,67.29,1,0.1,60.56,Bank Transfer,14,2.8
TXN1083,04-01-2023,CUST_7781,29,Male,UAE,Beauty,Moisturizing Cream,58.96,2,0.11,104.95,Credit Card,1,3.7
TXN1084,04-01-2023,CUST_22960,26,Male,UAE,Electronics,Gaming Laptop,870.5,1,0.13,757.34,PayPal,8,3.7
TXN1085,04-01-2023,CUST_12522,29,Male,UAE,Electronics,Smartwatch,895.72,1,0.01,886.76,Bank Transfer,11,2.6
TXN1086,04-01-2023,CUST_15718,44,Male,Pakistan,Sports,Yoga Mat,74.85,1,0.06,70.36,PayPal,6,4.3
TXN1087,04-01-2023,CUST_12522,38,Male,India,Apparel,Winter Jacket,59.13,2,0.05,112.35,PayPal,3,3.3
TXN1088,04-01-2023,CUST_12895,29,Female,UAE,Sports,Tennis Racket,188.78,2,0.1,339.8,Credit Card,13,2
TXN1089,04-01-2023,CUST_20769,40,Non-binary,UK,Beauty,Hair Serum,64.18,3,0.02,188.69,Bank Transfer,1,3.6
TXN1090,04-01-2023,CUST_21716,35,Female,Pakistan,Electronics,4K Smart TV,898.56,3,0.03,2614.81,PayPal,3,4.7
TXN1091,04-01-2023,CUST_5357,44,Female,India,Home & Kitchen,Coffee Maker,126.82,1,0.11,112.87,Credit Card,10,3.9
TXN1092,04-01-2023,CUST_21719,27,Male,UAE,Sports,Football,151.84,1,0.02,148.8,Credit Card,7,4.9
TXN1093,04-01-2023,CUST_19747,31,Female,Pakistan,Electronics,4K Smart TV,812.59,2,0.15,1381.4,Credit Card,1,4.8
TXN1094,04-01-2023,CUST_11538,31,Male,India,Home & Kitchen,Blender,259.81,2,0.02,509.23,PayPal,1,4.3
TXN1095,04-01-2023,CUST_16685,20,Non-binary,UAE,Electronics,Wireless Noise-Canceling Headphones,196.3,3,0.09,535.9,Credit Card,3,3.5
TXN1096,04-01-2023,CUST_6172,37,Female,Germany,Electronics,Gaming Laptop,434.78,3,0.05,1239.12,Credit Card,3,4
TXN1097,04-01-2023,CUST_9942,37,Male,UK,Apparel,Formal Shirt,51.69,3,0.04,148.87,Credit Card,12,2.6
TXN1098,04-01-2023,CUST_17777,35,Female,Germany,Electronics,Smartphone 128GB,695.06,3,0.09,1897.51,PayPal,11,1.4
TXN1099,04-01-2023,CUST_7329,32,Male,UK,Electronics,Smartphone 128GB,1175.86,1,0.02,1152.34,Credit Card,14,2
TXN1100,04-01-2023,CUST_9848,20,Male,Germany,Sports,Tennis Racket,84,2,0.1,151.2,Credit Card,12,2.4
TXN1101,04-01-2023,CUST_17242,30,Female,India,Electronics,Wireless Noise-Canceling Headphones,195.45,1,0.11,173.95,Credit Card,5,3.6
TXN1102,04-01-2023,CUST_10322,31,Male,UAE,Apparel,Cotton T-Shirt,67.83,1,0.11,60.37,Crypto,5,4.3
TXN1103,04-01-2023,CUST_22829,26,Female,India,Home & Kitchen,Blender,50.04,2,0.07,93.07,Credit Card,6,4.1
TXN1104,04-01-2023,CUST_21321,33,Male,UK,Electronics,Smartphone 128GB,597.32,2,0.09,1087.12,Credit Card,11,1.5
TXN1105,04-01-2023,CUST_10296,39,Male,UK,Home & Kitchen,Coffee Maker,203.17,3,0.14,524.18,PayPal,5,3.5
TXN1106,04-01-2023,CUST_10472,53,Female,India,Beauty,Perfume,40.39,3,0.02,118.75,Credit Card,9,4.8
TXN1107,04-01-2023,CUST_16249,36,Non-binary,UAE,Sports,Yoga Mat,115.54,2,0,231.08,Crypto,8,3.3
TXN1108,05-01-2023,CUST_5921,37,Male,Germany,Beauty,Perfume,36.77,1,0.01,36.4,Bank Transfer,3,4.5
TXN1109,05-01-2023,CUST_12538,34,Male,India,Electronics,Wireless Noise-Canceling Headphones,220.85,2,0.06,415.2,Credit Card,15,3.5
TXN1110,05-01-2023,CUST_23744,18,Female,UAE,Apparel,Running Shoes,19.59,1,0.12,17.24,Credit Card,3,3.6
TXN1111,05-01-2023,CUST_11236,34,Female,UAE,Electronics,Smartwatch,588.64,3,0.04,1695.28,Credit Card,12,2.6
TXN1112,05-01-2023,CUST_16679,35,Female,Pakistan,Apparel,Formal Shirt,49.97,3,0.06,140.92,Credit Card,9,3.1
TXN1113,05-01-2023,CUST_19497,59,Female,UK,Apparel,Formal Shirt,94.71,3,0.08,261.4,Credit Card,10,5
TXN1114,05-01-2023,CUST_18597,33,Female,Pakistan,Beauty,Perfume,48.67,1,0.02,47.7,Credit Card,1,3.5
TXN1115,05-01-2023,CUST_19195,38,Male,UK,Sports,Football,85.45,1,0.02,83.74,PayPal,15,2.5
TXN1116,05-01-2023,CUST_18027,34,Male,USA,Electronics,Gaming Laptop,357.76,2,0.02,701.21,Bank Transfer,12,1.2
TXN1117,05-01-2023,CUST_10925,23,Male,India,Electronics,Smartphone 128GB,1063.83,2,0.11,1893.62,Credit Card,2,4.4
TXN1118,05-01-2023,CUST_23912,46,Female,UK,Home & Kitchen,Vacuum Cleaner,88.71,2,0.14,152.58,Credit Card,3,3.2
TXN1119,05-01-2023,CUST_21618,42,Non-binary,Pakistan,Sports,Tennis Racket,16.29,2,0.04,31.28,Credit Card,11,1.4
TXN1120,05-01-2023,CUST_14914,42,Female,UAE,Home & Kitchen,Vacuum Cleaner,277.23,3,0.05,790.11,Credit Card,15,1.7
TXN1121,05-01-2023,CUST_19478,25,Female,UK,Electronics,Smartwatch,434.68,2,0.05,825.89,PayPal,8,3.1
TXN1122,05-01-2023,CUST_8326,49,Female,India,Sports,Tennis Racket,106.92,3,0.01,317.55,Credit Card,2,3.4
TXN1123,05-01-2023,CUST_18305,20,Male,Germany,Electronics,Smartwatch,1355.33,1,0.08,1246.9,Credit Card,5,3.4
TXN1124,05-01-2023,CUST_8932,40,Male,Germany,Beauty,Face Wash,35.05,2,0.15,59.58,Bank Transfer,2,3.5
TXN1125,05-01-2023,CUST_17394,56,Male,UAE,Sports,Cycling Helmet,150.19,3,0.09,410.02,Credit Card,12,2.2
TXN1126,05-01-2023,CUST_5550,25,Non-binary,India,Apparel,Denim Jeans,20.27,3,0.09,55.34,Credit Card,8,3.8
TXN1127,05-01-2023,CUST_16274,29,Female,UK,Electronics,Gaming Laptop,1057.2,1,0.08,972.62,PayPal,15,1
TXN1128,05-01-2023,CUST_17882,35,Female,Pakistan,Apparel,Denim Jeans,16.07,2,0.05,30.53,Credit Card,2,3.5
TXN1129,05-01-2023,CUST_6260,29,Male,UK,Electronics,Smartwatch,903.98,1,0.04,867.82,PayPal,4,4
TXN1130,05-01-2023,CUST_12936,19,Female,Germany,Electronics,4K Smart TV,292.08,2,0.13,508.22,Bank Transfer,12,1.6
TXN1131,05-01-2023,CUST_7852,35,Male,Pakistan,Home & Kitchen,Air Fryer,244.23,1,0.05,232.02,Credit Card,11,2.7
TXN1132,05-01-2023,CUST_22235,24,Female,Pakistan,Beauty,Perfume,26.03,1,0.14,22.39,Bank Transfer,11,2.7
TXN1133,05-01-2023,CUST_8907,39,Male,Pakistan,Beauty,Hair Serum,34.92,3,0.05,99.52,Credit Card,3,3.1
