id,bedrooms,bathrooms,Area,floors,condition,year built,location,Garage,price
7129300520,3,1,1180,1,3,1955,premium,No,"2,21,900"
6414100192,3,2.25,2570,2,3,1951,low,No,"5,38,000"
5631500400,2,1,770,1,3,1933,premium,No,"1,80,000"
2487200875,4,3,1960,1,5,1965,medium,Yes,"6,04,000"
1954400510,3,2,1680,1,3,1987,low,Yes,"5,10,000"
7237550310,4,4.5,5420,1,3,2001,medium,No,"12,25,000"
1321400060,3,2.25,1715,2,3,1995,medium,Yes,"2,57,500"
2008000270,3,1.5,1060,1,3,1963,medium,Yes,"2,91,850"
2414600126,3,1,1780,1,3,1960,medium,Yes,"2,29,500"
3793500160,3,2.5,1890,2,3,2003,low,No,"3,23,000"
1736800520,3,2.5,3560,1,3,1965,medium,Yes,"6,62,500"
9212900260,2,1,1160,1,4,1942,medium,Yes,"4,68,000"
114101516,3,1,1430,1.5,4,1927,premium,No,"3,10,000"
6054650070,3,1.75,1370,1,4,1977,premium,No,"4,00,000"
1175000570,5,2,1810,1.5,3,1900,medium,Yes,"5,30,000"
9297300055,4,3,2950,2,3,1979,premium,No,"6,50,000"
1875500060,3,2,1890,2,3,1994,premium,Yes,"3,95,000"
6865200140,4,1,1600,1.5,4,1916,low,Yes,"4,85,000"
16000397,2,1,1200,1,4,1921,premium,No,"1,89,000"
7983200060,3,1,1250,1,4,1969,low,No,"2,30,000"
6300500875,4,1.75,1620,1,4,1947,medium,Yes,"3,85,000"
2524049179,3,2.75,3050,1,3,1968,medium,No,"20,00,000"
7137970340,5,2.5,2270,2,3,1995,premium,No,"2,85,000"
8091400200,2,1.5,1070,1,3,1985,low,Yes,"2,52,700"
3814700200,3,2.25,2450,2,4,1985,premium,Yes,"3,29,000"
1202000200,3,2,1710,1.5,5,1941,premium,Yes,"2,33,000"
1794500383,3,1.75,2450,2,3,1915,medium,Yes,"9,37,000"
3303700376,3,1,1400,1.5,5,1909,low,Yes,"6,67,000"
5101402488,3,1.75,1520,1,3,1948,premium,Yes,"4,38,000"
1873100390,4,2.5,2570,2,3,2005,low,No,"7,19,000"
8562750320,3,2.5,2320,2,3,2003,premium,No,"5,80,500"
2426039314,2,1.5,1190,3,3,2005,medium,Yes,"2,80,000"
461000390,4,1.75,2330,1.5,4,1929,premium,No,"6,87,500"
7589200193,3,1,1090,1.5,4,1929,low,No,"5,35,000"
7955080270,4,2.75,2060,1,3,1981,low,Yes,"3,22,500"
9547205180,3,2.5,2300,1.5,3,1930,medium,No,"6,96,000"
9435300030,4,1,1660,1,1,1933,medium,No,"5,50,000"
2768000400,4,2,2360,2,4,1904,medium,Yes,"6,40,000"
7895500070,4,1,1220,1,2,1969,premium,No,"2,40,000"
2078500320,4,2.5,2620,2,3,1996,medium,No,"6,05,000"
5547700270,4,2.5,2570,2,3,2000,low,Yes,"6,25,000"
7766200013,4,2.25,4220,1,3,1984,premium,No,"7,75,000"
7203220400,5,2.75,3595,2,3,2014,medium,No,"8,61,990"
9270200160,3,1,1570,2,3,1922,medium,No,"6,85,000"
1432701230,3,1,1280,1,4,1959,low,Yes,"3,09,000"
8035350320,3,2.5,3160,2,3,2003,premium,Yes,"4,88,000"
8945200830,3,1,990,1,3,1966,low,No,"2,10,490"
4178300310,4,2.5,2290,2,4,1981,medium,No,"7,85,000"
9215400105,3,1.75,1250,1,4,1953,premium,Yes,"4,50,000"
822039084,3,2.5,2753,1,5,1953,low,Yes,"13,50,000"
5245600105,3,1,1190,1,3,1955,low,No,"2,28,000"
7231300125,5,2.5,3150,1,4,1966,medium,Yes,"3,45,000"
7518505990,3,1.75,1410,1,4,1950,medium,No,"6,00,000"
3626039271,2,1.75,1980,1,3,1981,medium,No,"5,85,000"
4217401195,5,2.25,2730,1.5,3,1927,medium,Yes,"9,20,000"
9822700295,4,2.5,2830,2,3,1995,premium,Yes,"8,85,000"
9478500640,4,2.5,2250,2,3,2008,low,No,"2,92,500"
2799800710,3,2.5,2420,2,3,2003,low,No,"3,01,000"
7922800400,5,3.25,3250,2,4,1968,medium,Yes,"9,51,000"
8079040320,4,3,1850,2,3,1991,premium,No,"4,30,000"
1516000055,3,2.25,2150,1,4,1959,medium,Yes,"6,50,000"
9558200045,3,1.75,1260,1,3,1954,low,Yes,"2,89,000"
5072410070,3,1.75,2519,2,5,1973,medium,Yes,"5,05,000"
9528102996,3,1.75,1540,3,3,2014,premium,Yes,"5,49,000"
1189001180,3,2.25,1660,1,3,1979,medium,Yes,"4,25,000"
3253500160,3,2.75,2770,1.5,5,1925,premium,No,"3,17,625"
3394100030,4,2.5,2720,2,3,1989,medium,Yes,"9,75,000"
3717000160,4,2.5,2240,2,3,2005,medium,Yes,"2,87,000"
1274500060,3,1,1000,1,4,1968,low,Yes,"2,04,000"
1802000060,5,2.25,3200,1,3,1965,premium,Yes,"13,25,000"
1525059190,5,3.25,4770,1,4,1973,premium,Yes,"10,40,000"
1049000060,3,2,1260,1,4,1972,premium,Yes,"3,25,000"
8820901275,4,2,2750,1.5,5,1916,premium,Yes,"5,71,000"
5416510140,4,2.5,2380,2,3,2005,medium,No,"3,60,000"
3444100400,3,1.75,1790,1,5,1965,premium,No,"3,49,000"
3276920270,4,4,3430,2,4,1986,low,No,"8,32,500"
4036801170,4,1.75,1760,1,3,1956,low,No,"3,80,000"
2391600320,3,1,1040,1,3,1941,premium,Yes,"4,80,000"
6300000287,3,1,1410,1,4,1956,low,No,"4,10,000"
1531000030,4,2.5,3450,2,3,2002,premium,Yes,"7,20,000"
5104520400,3,2.5,2350,2,3,2003,premium,No,"3,90,000"
7437100340,4,2.5,1900,2,3,1992,premium,No,"3,60,000"
9418400240,2,1,2020,1,3,1948,medium,Yes,"3,55,000"
1523059105,3,1.5,1680,1,3,1964,low,Yes,"3,56,000"
